instance_name,num_teams,num_slots,num_constraints,teams_is_even,estimated_minimum_slots,slot_pressure,slot_surplus,num_hard_constraints,num_soft_constraints,num_unclassified_constraints,num_constraints_missing_category,num_constraints_missing_tag,num_constraints_missing_type,ratio_hard_to_all,ratio_soft_to_all,ratio_unclassified_to_all,constraints_per_team,constraints_per_slot,constraints_per_team_slot,number_of_constraint_categories,number_of_constraint_tags,number_of_constraint_types,ratio_constraint_categories_to_constraints,ratio_constraint_tags_to_constraints,ratio_constraint_types_to_constraints,objective_present,objective_name,objective_sense,objective_is_minimization,objective_is_maximization
Early 1,16,30,196,True,30,1.0,0,83,113,0,0,0,0,0.42346938775510207,0.576530612244898,0.0,12.25,6.533333333333333,0.4083333333333333,5,8,2,0.025510204081632654,0.04081632653061224,0.01020408163265306,True,SC,,False,False
Early 10,20,38,1261,True,38,1.0,0,246,1015,0,0,0,0,0.1950832672482157,0.8049167327517843,0.0,63.05,33.18421052631579,1.6592105263157895,3,7,2,0.0023790642347343376,0.0055511498810467885,0.0015860428231562252,True,SC,,False,False
Early 11,20,38,1352,True,38,1.0,0,245,1107,0,0,0,0,0.1812130177514793,0.8187869822485208,0.0,67.6,35.578947368421055,1.7789473684210526,4,8,2,0.0029585798816568047,0.005917159763313609,0.0014792899408284023,True,SC,,False,False
Early 12,20,38,213,True,38,1.0,0,178,35,0,0,0,0,0.8356807511737089,0.1643192488262911,0.0,10.65,5.605263157894737,0.2802631578947368,3,7,2,0.014084507042253521,0.03286384976525822,0.009389671361502348,True,SC,,False,False
Early 13,20,38,532,True,38,1.0,0,100,432,0,0,0,0,0.18796992481203006,0.8120300751879699,0.0,26.6,14.0,0.7,3,6,2,0.005639097744360902,0.011278195488721804,0.0037593984962406013,True,SC,,False,False
Early 14,20,38,112,True,38,1.0,0,56,56,0,0,0,0,0.5,0.5,0.0,5.6,2.9473684210526314,0.14736842105263157,4,5,2,0.03571428571428571,0.044642857142857144,0.017857142857142856,True,SC,,False,False
Early 15,20,38,1410,True,38,1.0,0,187,1223,0,0,0,0,0.1326241134751773,0.8673758865248227,0.0,70.5,37.10526315789474,1.855263157894737,4,8,2,0.0028368794326241137,0.005673758865248227,0.0014184397163120568,True,SC,,False,False
Early 2,16,30,167,True,30,1.0,0,53,114,0,0,0,0,0.31736526946107785,0.6826347305389222,0.0,10.4375,5.566666666666666,0.34791666666666665,4,6,2,0.023952095808383235,0.03592814371257485,0.011976047904191617,True,SC,,False,False
Early 3,16,30,333,True,30,1.0,0,147,186,0,0,0,0,0.44144144144144143,0.5585585585585585,0.0,20.8125,11.1,0.69375,4,7,2,0.012012012012012012,0.021021021021021023,0.006006006006006006,True,SC,,False,False
Early 4,18,34,431,True,34,1.0,0,163,268,0,0,0,0,0.37819025522041766,0.6218097447795824,0.0,23.944444444444443,12.676470588235293,0.704248366013072,4,7,2,0.009280742459396751,0.016241299303944315,0.004640371229698376,True,SC,,False,False
Early 5,18,34,793,True,34,1.0,0,206,587,0,0,0,0,0.2597730138713745,0.7402269861286255,0.0,44.05555555555556,23.323529411764707,1.2957516339869282,4,8,2,0.005044136191677175,0.01008827238335435,0.0025220680958385876,True,SC,,False,False
Early 6,18,34,989,True,34,1.0,0,192,797,0,0,0,0,0.19413549039433772,0.8058645096056622,0.0,54.94444444444444,29.08823529411765,1.6160130718954249,5,8,2,0.005055611729019211,0.008088978766430738,0.0020222446916076846,True,SC,,False,False
Early 7,18,34,1332,True,34,1.0,0,174,1158,0,0,0,0,0.13063063063063063,0.8693693693693694,0.0,74.0,39.1764705882353,2.176470588235294,4,8,2,0.003003003003003003,0.006006006006006006,0.0015015015015015015,True,SC,,False,False
Early 8,18,34,652,True,34,1.0,0,70,582,0,0,0,0,0.10736196319018405,0.8926380368098159,0.0,36.22222222222222,19.176470588235293,1.065359477124183,4,7,2,0.006134969325153374,0.010736196319018405,0.003067484662576687,True,SC,,False,False
Early 9,18,34,191,True,34,1.0,0,89,102,0,0,0,0,0.46596858638743455,0.5340314136125655,0.0,10.61111111111111,5.617647058823529,0.31209150326797386,4,7,2,0.020942408376963352,0.03664921465968586,0.010471204188481676,True,SC,,False,False
Late 1,16,30,775,True,30,1.0,0,233,542,0,0,0,0,0.3006451612903226,0.6993548387096774,0.0,48.4375,25.833333333333332,1.6145833333333333,4,7,2,0.005161290322580645,0.00903225806451613,0.0025806451612903226,True,SC,,False,False
Late 10,20,38,927,True,38,1.0,0,233,694,0,0,0,0,0.2513484358144552,0.7486515641855448,0.0,46.35,24.394736842105264,1.2197368421052632,4,8,2,0.004314994606256742,0.008629989212513484,0.002157497303128371,True,SC,,False,False
Late 11,20,38,418,True,38,1.0,0,52,366,0,0,0,0,0.12440191387559808,0.8755980861244019,0.0,20.9,11.0,0.55,4,7,2,0.009569377990430622,0.01674641148325359,0.004784688995215311,True,SC,,False,False
Late 12,20,38,1251,True,38,1.0,0,244,1007,0,0,0,0,0.1950439648281375,0.8049560351718625,0.0,62.55,32.921052631578945,1.6460526315789474,3,7,2,0.002398081534772182,0.005595523581135092,0.0015987210231814548,True,SC,,False,False
Late 13,20,38,302,True,38,1.0,0,168,134,0,0,0,0,0.5562913907284768,0.44370860927152317,0.0,15.1,7.947368421052632,0.3973684210526316,5,8,2,0.016556291390728478,0.026490066225165563,0.006622516556291391,True,SC,,False,False
Late 14,20,38,1106,True,38,1.0,0,115,991,0,0,0,0,0.10397830018083183,0.8960216998191681,0.0,55.3,29.105263157894736,1.4552631578947368,4,7,2,0.003616636528028933,0.006329113924050633,0.0018083182640144665,True,SC,,False,False
Late 15,20,38,92,True,38,1.0,0,51,41,0,0,0,0,0.5543478260869565,0.44565217391304346,0.0,4.6,2.4210526315789473,0.12105263157894737,4,6,2,0.043478260869565216,0.06521739130434782,0.021739130434782608,True,SC,,False,False
