instance_name,dataset_type,num_teams,num_slots,num_constraints,teams_is_even,estimated_minimum_slots,slot_pressure,slot_surplus,num_hard_constraints,num_soft_constraints,num_unclassified_constraints,num_constraints_missing_category,num_constraints_missing_tag,num_constraints_missing_type,ratio_hard_to_all,ratio_soft_to_all,ratio_unclassified_to_all,constraints_per_team,constraints_per_slot,constraints_per_team_slot,number_of_constraint_categories,number_of_constraint_tags,number_of_constraint_types,ratio_constraint_categories_to_constraints,ratio_constraint_tags_to_constraints,ratio_constraint_types_to_constraints,objective_present,objective_name,objective_sense,objective_is_minimization,objective_is_maximization,best_solver,benchmark_solver_support_coverage,benchmark_total_solver_count,benchmark_eligible_solver_count,benchmark_supported_solver_count,benchmark_partially_supported_solver_count,benchmark_unsupported_solver_count,benchmark_not_configured_solver_count,benchmark_failed_solver_count,benchmark_best_solver_support_status,benchmark_best_solver_scoring_status,benchmark_best_solver_mean_objective,benchmark_best_solver_mean_runtime_seconds,benchmark_best_solver_num_runs,objective_cpsat_solver,objective_random_baseline,objective_simulated_annealing_solver
Early 1,real,16,30,196,True,30,1.0,0,83,113,0,0,0,0,0.423469387755102,0.576530612244898,0.0,12.25,6.533333333333333,0.4083333333333333,5,8,2,0.0255102040816326,0.0408163265306122,0.010204081632653,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,27.0,1.6561145999585278,1,30.0,676.639427,27.0
Early 10,real,20,38,1261,True,38,1.0,0,246,1015,0,0,0,0,0.1950832672482157,0.8049167327517843,0.0,63.05,33.18421052631579,1.6592105263157897,3,7,2,0.0023790642347343,0.0055511498810467,0.0015860428231562,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.152589699951932,1,38.0,2021.639427,38.0
Early 11,real,20,38,1352,True,38,1.0,0,245,1107,0,0,0,0,0.1812130177514793,0.8187869822485208,0.0,67.6,35.578947368421055,1.7789473684210526,4,8,2,0.0029585798816568,0.0059171597633136,0.0014792899408284,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.240419500041753,1,38.0,2112.639427,38.0
Early 12,real,20,38,213,True,38,1.0,0,178,35,0,0,0,0,0.8356807511737089,0.1643192488262911,0.0,10.65,5.605263157894737,0.2802631578947368,3,7,2,0.0140845070422535,0.0328638497652582,0.0093896713615023,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.119646700040903,1,38.0,973.639427,38.0
Early 13,real,20,38,532,True,38,1.0,0,100,432,0,0,0,0,0.18796992481203,0.8120300751879699,0.0,26.6,14.0,0.7,3,6,2,0.0056390977443609,0.0112781954887218,0.0037593984962406,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.19340160000138,1,38.0,1292.639427,38.0
Early 14,real,20,38,112,True,38,1.0,0,56,56,0,0,0,0,0.5,0.5,0.0,5.6,2.9473684210526314,0.1473684210526315,4,5,2,0.0357142857142857,0.0446428571428571,0.0178571428571428,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.2093721000128426,1,38.0,872.639427,38.0
Early 15,real,20,38,1410,True,38,1.0,0,187,1223,0,0,0,0,0.1326241134751773,0.8673758865248227,0.0,70.5,37.10526315789474,1.855263157894737,4,8,2,0.0028368794326241,0.0056737588652482,0.001418439716312,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.124415200029034,1,38.0,2170.639427,38.0
Early 2,real,16,30,167,True,30,1.0,0,53,114,0,0,0,0,0.3173652694610778,0.6826347305389222,0.0,10.4375,5.566666666666666,0.3479166666666666,4,6,2,0.0239520958083832,0.0359281437125748,0.0119760479041916,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,27.0,1.4087168999831192,1,30.0,647.639427,27.0
Early 3,real,16,30,333,True,30,1.0,0,147,186,0,0,0,0,0.4414414414414414,0.5585585585585585,0.0,20.8125,11.1,0.69375,4,7,2,0.012012012012012,0.021021021021021,0.006006006006006,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,27.0,1.6813087000045923,1,30.0,813.639427,27.0
Early 4,real,18,34,431,True,34,1.0,0,163,268,0,0,0,0,0.3781902552204176,0.6218097447795824,0.0,23.944444444444443,12.676470588235292,0.704248366013072,4,7,2,0.0092807424593967,0.0162412993039443,0.0046403712296983,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.802371600002516,1,34.0,1043.639427,32.0
Early 5,real,18,34,793,True,34,1.0,0,206,587,0,0,0,0,0.2597730138713745,0.7402269861286255,0.0,44.05555555555556,23.323529411764707,1.2957516339869282,4,8,2,0.0050441361916771,0.0100882723833543,0.0025220680958385,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.7110557000269182,1,34.0,1405.639427,32.0
