instance_name,num_teams,num_slots,num_constraints,teams_is_even,estimated_minimum_slots,slot_pressure,slot_surplus,num_hard_constraints,num_soft_constraints,num_unclassified_constraints,num_constraints_missing_category,num_constraints_missing_tag,num_constraints_missing_type,ratio_hard_to_all,ratio_soft_to_all,ratio_unclassified_to_all,constraints_per_team,constraints_per_slot,constraints_per_team_slot,number_of_constraint_categories,number_of_constraint_tags,number_of_constraint_types,ratio_constraint_categories_to_constraints,ratio_constraint_tags_to_constraints,ratio_constraint_types_to_constraints,objective_present,objective_name,objective_sense,objective_is_minimization,objective_is_maximization
synthetic_study_easy_04t_double_seed42_0016,4,8,4,True,6,0.75,2,2,2,0,0,0,0,0.5,0.5,0.0,1.0,0.5,0.125,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_04t_double_seed43_0076,4,8,4,True,6,0.75,2,2,2,0,0,0,0,0.5,0.5,0.0,1.0,0.5,0.125,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_04t_single_seed42_0031,4,4,4,True,3,0.75,1,1,3,0,0,0,0,0.25,0.75,0.0,1.0,1.0,0.25,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_04t_single_seed42_0046,4,3,4,True,3,1.0,0,2,2,0,0,0,0,0.5,0.5,0.0,1.0,1.3333333333333333,0.3333333333333333,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_04t_single_seed42_0049,4,4,4,True,3,0.75,1,2,2,0,0,0,0,0.5,0.5,0.0,1.0,1.0,0.25,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_04t_single_seed43_0091,4,5,4,True,3,0.6,2,2,2,0,0,0,0,0.5,0.5,0.0,1.0,0.8,0.2,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_04t_single_seed43_0106,4,3,4,True,3,1.0,0,2,2,0,0,0,0,0.5,0.5,0.0,1.0,1.3333333333333333,0.3333333333333333,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_04t_single_seed43_0109,4,4,5,True,3,0.75,1,2,3,0,0,0,0,0.4,0.6,0.0,1.25,1.25,0.3125,5,5,2,1.0,1.0,0.4,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_04t_single_seed44_0151,4,5,4,True,3,0.6,2,2,2,0,0,0,0,0.5,0.5,0.0,1.0,0.8,0.2,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_04t_single_seed44_0166,4,3,4,True,3,1.0,0,2,2,0,0,0,0,0.5,0.5,0.0,1.0,1.3333333333333333,0.3333333333333333,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_04t_single_seed44_0169,4,4,5,True,3,0.75,1,2,3,0,0,0,0,0.4,0.6,0.0,1.25,1.25,0.3125,5,5,2,1.0,1.0,0.4,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_05t_double_seed42_0034,5,12,6,False,10,0.8333333333333334,2,3,3,0,0,0,0,0.5,0.5,0.0,1.2,0.5,0.1,6,6,2,1.0,1.0,0.3333333333333333,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_05t_double_seed42_0052,5,12,6,False,10,0.8333333333333334,2,2,4,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,1.2,0.5,0.1,6,6,2,1.0,1.0,0.3333333333333333,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_05t_double_seed43_0094,5,12,6,False,10,0.8333333333333334,2,3,3,0,0,0,0,0.5,0.5,0.0,1.2,0.5,0.1,6,6,2,1.0,1.0,0.3333333333333333,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_05t_double_seed43_0112,5,12,6,False,10,0.8333333333333334,2,2,4,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,1.2,0.5,0.1,6,6,2,1.0,1.0,0.3333333333333333,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_05t_double_seed44_0136,5,12,4,False,10,0.8333333333333334,2,2,2,0,0,0,0,0.5,0.5,0.0,0.8,0.3333333333333333,0.06666666666666667,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_05t_double_seed44_0154,5,12,6,False,10,0.8333333333333334,2,2,4,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,1.2,0.5,0.1,6,6,2,1.0,1.0,0.3333333333333333,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_05t_double_seed44_0172,5,12,6,False,10,0.8333333333333334,2,2,4,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,1.2,0.5,0.1,6,6,2,1.0,1.0,0.3333333333333333,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_05t_single_seed42_0001,5,5,3,False,5,1.0,0,2,1,0,0,0,0,0.6666666666666666,0.3333333333333333,0.0,0.6,0.6,0.12,3,3,2,1.0,1.0,0.6666666666666666,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_05t_single_seed42_0019,5,6,3,False,5,0.8333333333333334,1,1,2,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,0.6,0.5,0.1,3,3,2,1.0,1.0,0.6666666666666666,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_05t_single_seed43_0061,5,5,3,False,5,1.0,0,1,2,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,0.6,0.6,0.12,3,3,2,1.0,1.0,0.6666666666666666,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_05t_single_seed43_0079,5,6,3,False,5,0.8333333333333334,1,1,2,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,0.6,0.5,0.1,3,3,2,1.0,1.0,0.6666666666666666,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_05t_single_seed44_0121,5,5,3,False,5,1.0,0,1,2,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,0.6,0.6,0.12,3,3,2,1.0,1.0,0.6666666666666666,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_05t_single_seed44_0139,5,6,3,False,5,0.8333333333333334,1,1,2,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,0.6,0.5,0.1,3,3,2,1.0,1.0,0.6666666666666666,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_06t_single_seed42_0004,6,5,3,True,5,1.0,0,1,2,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,0.5,0.6,0.1,3,3,2,1.0,1.0,0.6666666666666666,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_06t_single_seed42_0022,6,7,4,True,5,0.7142857142857143,2,2,2,0,0,0,0,0.5,0.5,0.0,0.6666666666666666,0.5714285714285714,0.09523809523809523,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_06t_single_seed42_0037,6,5,6,True,5,1.0,0,3,3,0,0,0,0,0.5,0.5,0.0,1.0,1.2,0.2,6,6,2,1.0,1.0,0.3333333333333333,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_06t_single_seed42_0040,6,6,7,True,5,0.8333333333333334,1,3,4,0,0,0,0,0.42857142857142855,0.5714285714285714,0.0,1.1666666666666667,1.1666666666666667,0.19444444444444445,7,7,2,1.0,1.0,0.2857142857142857,True,weighted_soft_penalty,minimize,True,False
synthetic_study_easy_06t_single_seed42_0055,6,5,6,True,5,1.0,0,3,3,0,0,0,0,0.5,0.5,0.0,1.0,1.2,0.2,6,6,2,1.0,1.0,0.3333333333333333,True,weighted_soft_penalty,minimize,True,False
