instance_name,file_name,file_path,dataset_seed,source_random_seed,seed_batch_index,instance_index,difficulty,team_count,slot_count,round_robin_mode,meeting_count,constraint_count,hard_constraint_count,soft_constraint_count,hard_constraint_ratio,constraint_density,penalty_weight_min,penalty_weight_max,constraint_families,num_constraint_families,capacity_constraint_count,break_constraint_count,home_away_constraint_count,availability_constraint_count,venue_constraint_count,separation_constraint_count,fairness_constraint_count,travel_constraint_count
synthetic_study_easy_05t_single_seed42_0001,synthetic_study_easy_05t_single_seed42_0001.xml,data/raw/synthetic/study/synthetic_study_easy_05t_single_seed42_0001.xml,42,42,0,1,easy,5,5,single,10,3,2,1,0.6667,0.25,5,18,Availability;Break;Capacity,3,1,1,0,1,0,0,0,0
synthetic_study_medium_08t_single_seed42_0002,synthetic_study_medium_08t_single_seed42_0002.xml,data/raw/synthetic/study/synthetic_study_medium_08t_single_seed42_0002.xml,42,7961,0,2,medium,8,8,single,28,6,3,3,0.5,0.55,10,35,Availability;Break;Capacity;Fairness;HomeAway;Venue,6,1,1,1,1,1,0,1,0
synthetic_study_hard_12t_single_seed42_0003,synthetic_study_hard_12t_single_seed42_0003.xml,data/raw/synthetic/study/synthetic_study_hard_12t_single_seed42_0003.xml,42,15880,0,3,hard,12,13,single,66,11,7,4,0.6364,0.55,20,70,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,2,2,1,1,1,2,1
synthetic_study_easy_06t_single_seed42_0004,synthetic_study_easy_06t_single_seed42_0004.xml,data/raw/synthetic/study/synthetic_study_easy_06t_single_seed42_0004.xml,42,23799,0,4,easy,6,5,single,15,3,1,2,0.3333,0.18,6,19,Break;Capacity;HomeAway,3,1,1,1,0,0,0,0,0
synthetic_study_medium_08t_double_seed42_0005,synthetic_study_medium_08t_double_seed42_0005.xml,data/raw/synthetic/study/synthetic_study_medium_08t_double_seed42_0005.xml,42,31718,0,5,medium,8,15,double,56,8,5,3,0.625,0.45,11,36,Availability;Break;Capacity;Fairness;HomeAway;Separation;Venue,7,1,2,1,1,1,1,1,0
synthetic_study_hard_13t_double_seed42_0006,synthetic_study_hard_13t_double_seed42_0006.xml,data/raw/synthetic/study/synthetic_study_hard_13t_double_seed42_0006.xml,42,39637,0,6,hard,13,29,double,156,13,8,5,0.6154,0.8,21,71,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,2,2,1,1,1,3,1
synthetic_study_easy_07t_double_seed42_0007,synthetic_study_easy_07t_double_seed42_0007.xml,data/raw/synthetic/study/synthetic_study_easy_07t_double_seed42_0007.xml,42,47556,0,7,easy,7,16,double,42,5,2,3,0.4,0.35,7,20,Availability;Break;Capacity;Fairness;HomeAway,5,1,1,1,1,0,0,1,0
synthetic_study_medium_09t_single_seed42_0008,synthetic_study_medium_09t_single_seed42_0008.xml,data/raw/synthetic/study/synthetic_study_medium_09t_single_seed42_0008.xml,42,55475,0,8,medium,9,11,single,36,8,5,3,0.625,0.35,12,37,Availability;Break;Capacity;Fairness;HomeAway;Separation;Venue,7,1,2,1,1,1,1,1,0
synthetic_study_hard_13t_double_seed42_0009,synthetic_study_hard_13t_double_seed42_0009.xml,data/raw/synthetic/study/synthetic_study_hard_13t_double_seed42_0009.xml,42,63394,0,9,hard,13,30,double,156,14,11,3,0.7857,0.7,22,72,Availability;Break;Capacity;Fairness;HomeAway;Separation;Venue,7,2,2,2,2,2,2,2,0
synthetic_study_easy_08t_single_seed42_0010,synthetic_study_easy_08t_single_seed42_0010.xml,data/raw/synthetic/study/synthetic_study_easy_08t_single_seed42_0010.xml,42,71313,0,10,easy,8,8,single,28,5,2,3,0.4,0.28,8,21,Availability;Break;Capacity;Fairness;HomeAway,5,1,1,1,1,0,0,1,0
