importance_rank,feature,source_feature,importance,feature_group
1,numeric__constraints_per_slot,constraints_per_slot,0.14754956823484333,density
2,numeric__ratio_constraint_tags_to_constraints,ratio_constraint_tags_to_constraints,0.12959273917630681,diversity
3,numeric__num_soft_constraints,num_soft_constraints,0.12667110587250585,constraint_composition
4,numeric__ratio_constraint_types_to_constraints,ratio_constraint_types_to_constraints,0.12656877480084208,diversity
5,numeric__constraints_per_team,constraints_per_team,0.12084628192271199,density
6,numeric__num_constraints,num_constraints,0.09071532858921756,size
7,numeric__ratio_constraint_categories_to_constraints,ratio_constraint_categories_to_constraints,0.08343350225397515,diversity
8,numeric__num_hard_constraints,num_hard_constraints,0.05889356622851101,constraint_composition
9,numeric__slot_pressure,slot_pressure,0.028822142080332062,size
10,numeric__slot_surplus,slot_surplus,0.021006138380969968,size
11,numeric__number_of_constraint_categories,number_of_constraint_categories,0.017661575291621167,diversity
12,numeric__constraints_per_team_slot,constraints_per_team_slot,0.012345702205119966,density
13,numeric__ratio_soft_to_all,ratio_soft_to_all,0.008813814874115863,density
14,numeric__num_slots,num_slots,0.0066426722414903066,size
15,numeric__ratio_hard_to_all,ratio_hard_to_all,0.0060496492541757055,density
16,numeric__num_teams,num_teams,0.005604507341974785,size
17,numeric__number_of_constraint_types,number_of_constraint_types,0.003224113629265739,diversity
18,numeric__number_of_constraint_tags,number_of_constraint_tags,0.0025243038119144193,diversity
19,numeric__estimated_minimum_slots,estimated_minimum_slots,0.002046048439913909,size
20,numeric__teams_is_even,teams_is_even,0.0009884653701921929,size
21,numeric__num_constraints_missing_category,num_constraints_missing_category,0.0,constraint_composition
22,numeric__num_constraints_missing_tag,num_constraints_missing_tag,0.0,constraint_composition
23,numeric__num_constraints_missing_type,num_constraints_missing_type,0.0,constraint_composition
24,numeric__num_unclassified_constraints,num_unclassified_constraints,0.0,constraint_composition
25,numeric__ratio_unclassified_to_all,ratio_unclassified_to_all,0.0,density
