summary_row_type,dataset_type,split_id,split_strategy,repeat_index,fold_index,stratified_split,single_best_solver_name,num_train_rows,num_test_rows,num_train_classes,num_test_classes,classification_accuracy,balanced_accuracy,average_selected_objective,average_virtual_best_objective,average_single_best_objective,regret_vs_virtual_best,delta_vs_single_best,improvement_vs_single_best
split,all,stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,cpsat_solver,156.0,78.0,2.0,2.0,1.0,1.0,19.346153846153847,19.346153846153847,19.78205128205128,0.0,-0.43589743589743435,0.43589743589743435
split_dataset_type,real,stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,cpsat_solver,36.0,18.0,1.0,1.0,1.0,,30.77777777777778,30.77777777777778,32.666666666666664,0.0,-1.8888888888888857,1.8888888888888857
split_dataset_type,synthetic,stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,cpsat_solver,120.0,60.0,1.0,1.0,1.0,,15.916666666666666,15.916666666666666,15.916666666666666,0.0,0.0,-0.0
split,all,stratified_cv_r01_f02,repeated_stratified_kfold,1,2,True,cpsat_solver,156.0,78.0,2.0,2.0,1.0,1.0,18.846153846153847,18.846153846153847,19.256410256410255,0.0,-0.4102564102564088,0.4102564102564088
split_dataset_type,real,stratified_cv_r01_f02,repeated_stratified_kfold,1,2,True,cpsat_solver,36.0,18.0,1.0,1.0,1.0,,30.444444444444443,30.444444444444443,32.22222222222222,0.0,-1.7777777777777786,1.7777777777777786
split_dataset_type,synthetic,stratified_cv_r01_f02,repeated_stratified_kfold,1,2,True,cpsat_solver,120.0,60.0,1.0,1.0,1.0,,15.366666666666667,15.366666666666667,15.366666666666667,0.0,0.0,-0.0
split,all,stratified_cv_r01_f03,repeated_stratified_kfold,1,3,True,cpsat_solver,156.0,78.0,2.0,2.0,0.9871794871794872,0.9722222222222222,20.384615384615383,20.346153846153847,20.666666666666668,0.03846153846153655,-0.2820512820512846,0.2820512820512846
split_dataset_type,real,stratified_cv_r01_f03,repeated_stratified_kfold,1,3,True,cpsat_solver,36.0,18.0,1.0,1.0,0.9444444444444444,,31.22222222222222,31.055555555555557,32.44444444444444,0.1666666666666643,-1.2222222222222214,1.2222222222222214
split_dataset_type,synthetic,stratified_cv_r01_f03,repeated_stratified_kfold,1,3,True,cpsat_solver,120.0,60.0,1.0,1.0,1.0,,17.133333333333333,17.133333333333333,17.133333333333333,0.0,0.0,-0.0
split,all,stratified_cv_r02_f01,repeated_stratified_kfold,2,1,True,cpsat_solver,156.0,78.0,2.0,2.0,1.0,1.0,20.474358974358974,20.474358974358974,20.858974358974358,0.0,-0.38461538461538325,0.38461538461538325
