summary_row_type,dataset_type,split_id,split_strategy,repeat_index,fold_index,stratified_split,single_best_solver_name,num_train_rows,num_test_rows,num_train_classes,num_test_classes,classification_accuracy,balanced_accuracy,average_selected_objective,average_virtual_best_objective,average_single_best_objective,regret_vs_virtual_best,delta_vs_single_best,improvement_vs_single_best
split,all,plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,simulated_annealing_baseline,36.0,18.0,1.0,1.0,1.0,,32.666666666666664,32.666666666666664,32.666666666666664,0.0,0.0,-0.0
split,all,plain_cv_r01_f02,repeated_stratified_kfold,1,2,False,simulated_annealing_baseline,36.0,18.0,1.0,1.0,1.0,,28.333333333333332,28.333333333333332,28.333333333333332,0.0,0.0,-0.0
split,all,plain_cv_r01_f03,repeated_stratified_kfold,1,3,False,simulated_annealing_baseline,36.0,18.0,1.0,1.0,1.0,,31.27777777777778,31.27777777777778,31.27777777777778,0.0,0.0,-0.0
split,all,plain_cv_r02_f01,repeated_stratified_kfold,2,1,False,simulated_annealing_baseline,36.0,18.0,1.0,1.0,1.0,,28.11111111111111,28.11111111111111,28.11111111111111,0.0,0.0,-0.0
split,all,plain_cv_r02_f02,repeated_stratified_kfold,2,2,False,simulated_annealing_baseline,36.0,18.0,1.0,1.0,1.0,,32.55555555555556,32.55555555555556,32.55555555555556,0.0,0.0,-0.0
split,all,plain_cv_r02_f03,repeated_stratified_kfold,2,3,False,simulated_annealing_baseline,36.0,18.0,1.0,1.0,1.0,,31.61111111111111,31.61111111111111,31.61111111111111,0.0,0.0,-0.0
split,all,plain_cv_r03_f01,repeated_stratified_kfold,3,1,False,simulated_annealing_baseline,36.0,18.0,1.0,1.0,1.0,,30.22222222222222,30.22222222222222,30.22222222222222,0.0,0.0,-0.0
split,all,plain_cv_r03_f02,repeated_stratified_kfold,3,2,False,simulated_annealing_baseline,36.0,18.0,1.0,1.0,1.0,,30.72222222222222,30.72222222222222,30.72222222222222,0.0,0.0,-0.0
split,all,plain_cv_r03_f03,repeated_stratified_kfold,3,3,False,simulated_annealing_baseline,36.0,18.0,1.0,1.0,1.0,,31.333333333333332,31.333333333333332,31.333333333333332,0.0,0.0,-0.0
aggregate_mean,all,aggregate_mean,repeated_stratified_kfold,,,,simulated_annealing_baseline,36.0,18.0,1.0,1.0,1.0,,30.759259259259256,30.759259259259256,30.759259259259256,0.0,0.0,0.0
aggregate_std,all,aggregate_std,repeated_stratified_kfold,,,,,0.0,0.0,0.0,0.0,0.0,,1.6346461088671664,1.6346461088671664,1.6346461088671664,0.0,0.0,0.0
