importance_rank,feature,source_feature,importance,feature_group
1,numeric__constraints_per_slot,constraints_per_slot,0.0,density
2,numeric__constraints_per_team,constraints_per_team,0.0,density
3,numeric__constraints_per_team_slot,constraints_per_team_slot,0.0,density
4,numeric__estimated_minimum_slots,estimated_minimum_slots,0.0,size
5,numeric__num_constraints,num_constraints,0.0,size
6,numeric__num_constraints_missing_category,num_constraints_missing_category,0.0,constraint_composition
7,numeric__num_constraints_missing_tag,num_constraints_missing_tag,0.0,constraint_composition
8,numeric__num_constraints_missing_type,num_constraints_missing_type,0.0,constraint_composition
9,numeric__num_hard_constraints,num_hard_constraints,0.0,constraint_composition
10,numeric__num_slots,num_slots,0.0,size
11,numeric__num_soft_constraints,num_soft_constraints,0.0,constraint_composition
12,numeric__num_teams,num_teams,0.0,size
13,numeric__num_unclassified_constraints,num_unclassified_constraints,0.0,constraint_composition
14,numeric__number_of_constraint_categories,number_of_constraint_categories,0.0,diversity
15,numeric__number_of_constraint_tags,number_of_constraint_tags,0.0,diversity
16,numeric__number_of_constraint_types,number_of_constraint_types,0.0,diversity
17,numeric__ratio_constraint_categories_to_constraints,ratio_constraint_categories_to_constraints,0.0,diversity
18,numeric__ratio_constraint_tags_to_constraints,ratio_constraint_tags_to_constraints,0.0,diversity
19,numeric__ratio_constraint_types_to_constraints,ratio_constraint_types_to_constraints,0.0,diversity
20,numeric__ratio_hard_to_all,ratio_hard_to_all,0.0,density
21,numeric__ratio_soft_to_all,ratio_soft_to_all,0.0,density
22,numeric__ratio_unclassified_to_all,ratio_unclassified_to_all,0.0,density
23,numeric__slot_pressure,slot_pressure,0.0,size
24,numeric__slot_surplus,slot_surplus,0.0,size
25,numeric__teams_is_even,teams_is_even,0.0,size
