split_id,split_strategy,repeat_index,fold_index,stratified_split,instance_name,selected_solver,true_best_solver,prediction_correct,selected_solver_objective,best_possible_objective,single_best_solver,single_best_solver_objective,selected_objective_for_scoring,single_best_objective_for_scoring,regret_vs_virtual_best,delta_vs_single_best,improvement_vs_single_best
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_04t_double_seed42_0016,cpsat_round_robin,cpsat_round_robin,True,6.0,6.0,cpsat_round_robin,6.0,6.0,6.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_04t_double_seed43_0076,cpsat_round_robin,cpsat_round_robin,True,6.0,6.0,cpsat_round_robin,6.0,6.0,6.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_04t_single_seed42_0031,cpsat_round_robin,cpsat_round_robin,True,3.0,3.0,cpsat_round_robin,3.0,3.0,3.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_04t_single_seed44_0166,cpsat_round_robin,cpsat_round_robin,True,3.0,3.0,cpsat_round_robin,3.0,3.0,3.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_04t_single_seed44_0169,cpsat_round_robin,cpsat_round_robin,True,3.0,3.0,cpsat_round_robin,3.0,3.0,3.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_05t_double_seed42_0034,cpsat_round_robin,cpsat_round_robin,True,10.0,10.0,cpsat_round_robin,10.0,10.0,10.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_05t_double_seed42_0052,cpsat_round_robin,cpsat_round_robin,True,10.0,10.0,cpsat_round_robin,10.0,10.0,10.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_05t_double_seed44_0136,cpsat_round_robin,cpsat_round_robin,True,10.0,10.0,cpsat_round_robin,10.0,10.0,10.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_05t_double_seed44_0172,cpsat_round_robin,cpsat_round_robin,True,10.0,10.0,cpsat_round_robin,10.0,10.0,10.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_05t_single_seed42_0019,cpsat_round_robin,cpsat_round_robin,True,5.0,5.0,cpsat_round_robin,5.0,5.0,5.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_05t_single_seed43_0061,cpsat_round_robin,cpsat_round_robin,True,5.0,5.0,cpsat_round_robin,5.0,5.0,5.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_05t_single_seed44_0121,cpsat_round_robin,cpsat_round_robin,True,5.0,5.0,cpsat_round_robin,5.0,5.0,5.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_06t_single_seed43_0064,cpsat_round_robin,cpsat_round_robin,True,5.0,5.0,cpsat_round_robin,5.0,5.0,5.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_06t_single_seed43_0082,cpsat_round_robin,cpsat_round_robin,True,5.0,5.0,cpsat_round_robin,5.0,5.0,5.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_07t_double_seed42_0007,cpsat_round_robin,cpsat_round_robin,True,14.0,14.0,cpsat_round_robin,14.0,14.0,14.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_07t_double_seed42_0025,cpsat_round_robin,cpsat_round_robin,True,14.0,14.0,cpsat_round_robin,14.0,14.0,14.0,0.0,0.0,-0.0
plain_cv_r01_f01,repeated_stratified_kfold,1,1,False,synthetic_study_easy_07t_double_seed42_0043,cpsat_round_robin,cpsat_round_robin,True,14.0,14.0,cpsat_round_robin,14.0,14.0,14.0,0.0,0.0,-0.0
