benchmark_seed,summary_row_type,dataset_type,split_id,split_strategy,repeat_index,fold_index,stratified_split,single_best_solver_name,num_train_rows,num_test_rows,num_train_classes,num_test_classes,classification_accuracy,balanced_accuracy,average_selected_objective,average_virtual_best_objective,average_single_best_objective,regret_vs_virtual_best,delta_vs_single_best,improvement_vs_single_best
42,split,all,plain_cv_r01_f01,repeated_stratified_kfold,1.0,1.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,16.083333333333332,16.083333333333332,16.083333333333332,0.0,0.0,-0.0
42,split,all,plain_cv_r01_f02,repeated_stratified_kfold,1.0,2.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,15.266666666666667,15.266666666666667,15.266666666666667,0.0,0.0,-0.0
42,split,all,plain_cv_r01_f03,repeated_stratified_kfold,1.0,3.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,17.1,17.1,17.1,0.0,0.0,-0.0
42,split,all,plain_cv_r02_f01,repeated_stratified_kfold,2.0,1.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,16.266666666666666,16.266666666666666,16.266666666666666,0.0,0.0,-0.0
42,split,all,plain_cv_r02_f02,repeated_stratified_kfold,2.0,2.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,15.083333333333334,15.083333333333334,15.083333333333334,0.0,0.0,-0.0
42,split,all,plain_cv_r02_f03,repeated_stratified_kfold,2.0,3.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,17.1,17.1,17.1,0.0,0.0,-0.0
42,split,all,plain_cv_r03_f01,repeated_stratified_kfold,3.0,1.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,15.616666666666667,15.616666666666667,15.616666666666667,0.0,0.0,-0.0
42,split,all,plain_cv_r03_f02,repeated_stratified_kfold,3.0,2.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,16.166666666666668,16.166666666666668,16.166666666666668,0.0,0.0,-0.0
42,split,all,plain_cv_r03_f03,repeated_stratified_kfold,3.0,3.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,16.666666666666668,16.666666666666668,16.666666666666668,0.0,0.0,-0.0
42,aggregate_mean,all,aggregate_mean,repeated_stratified_kfold,,,,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,16.15,16.15,16.15,0.0,0.0,0.0
42,aggregate_std,all,aggregate_std,repeated_stratified_kfold,,,,,0.0,0.0,0.0,0.0,0.0,,0.7325279668532955,0.7325279668532955,0.7325279668532955,0.0,0.0,0.0
43,split,all,plain_cv_r01_f01,repeated_stratified_kfold,1.0,1.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,14.733333333333333,14.733333333333333,14.733333333333333,0.0,0.0,-0.0
43,split,all,plain_cv_r01_f02,repeated_stratified_kfold,1.0,2.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,17.666666666666668,17.666666666666668,17.666666666666668,0.0,0.0,-0.0
43,split,all,plain_cv_r01_f03,repeated_stratified_kfold,1.0,3.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,16.05,16.05,16.05,0.0,0.0,-0.0
43,split,all,plain_cv_r02_f01,repeated_stratified_kfold,2.0,1.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,17.35,17.35,17.35,0.0,0.0,-0.0
43,split,all,plain_cv_r02_f02,repeated_stratified_kfold,2.0,2.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,14.833333333333334,14.833333333333334,14.833333333333334,0.0,0.0,-0.0
43,split,all,plain_cv_r02_f03,repeated_stratified_kfold,2.0,3.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,16.266666666666666,16.266666666666666,16.266666666666666,0.0,0.0,-0.0
43,split,all,plain_cv_r03_f01,repeated_stratified_kfold,3.0,1.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,17.85,17.85,17.85,0.0,0.0,-0.0
43,split,all,plain_cv_r03_f02,repeated_stratified_kfold,3.0,2.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,15.75,15.75,15.75,0.0,0.0,-0.0
43,split,all,plain_cv_r03_f03,repeated_stratified_kfold,3.0,3.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,14.85,14.85,14.85,0.0,0.0,-0.0
43,aggregate_mean,all,aggregate_mean,repeated_stratified_kfold,,,,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,16.15,16.15,16.15,0.0,0.0,0.0
43,aggregate_std,all,aggregate_std,repeated_stratified_kfold,,,,,0.0,0.0,0.0,0.0,0.0,,1.2371562373263765,1.2371562373263765,1.2371562373263765,0.0,0.0,0.0
44,split,all,plain_cv_r01_f01,repeated_stratified_kfold,1.0,1.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,15.383333333333333,15.383333333333333,15.383333333333333,0.0,0.0,-0.0
44,split,all,plain_cv_r01_f02,repeated_stratified_kfold,1.0,2.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,16.516666666666666,16.516666666666666,16.516666666666666,0.0,0.0,-0.0
44,split,all,plain_cv_r01_f03,repeated_stratified_kfold,1.0,3.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,16.566666666666666,16.566666666666666,16.566666666666666,0.0,0.0,-0.0
44,split,all,plain_cv_r02_f01,repeated_stratified_kfold,2.0,1.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,18.466666666666665,18.466666666666665,18.466666666666665,0.0,0.0,-0.0
44,split,all,plain_cv_r02_f02,repeated_stratified_kfold,2.0,2.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,13.85,13.85,13.85,0.0,0.0,-0.0
44,split,all,plain_cv_r02_f03,repeated_stratified_kfold,2.0,3.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,16.15,16.15,16.15,0.0,0.0,-0.0
44,split,all,plain_cv_r03_f01,repeated_stratified_kfold,3.0,1.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,15.85,15.85,15.85,0.0,0.0,-0.0
44,split,all,plain_cv_r03_f02,repeated_stratified_kfold,3.0,2.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,18.016666666666666,18.016666666666666,18.016666666666666,0.0,0.0,-0.0
44,split,all,plain_cv_r03_f03,repeated_stratified_kfold,3.0,3.0,False,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,14.6,14.6,14.6,0.0,0.0,-0.0
44,aggregate_mean,all,aggregate_mean,repeated_stratified_kfold,,,,cpsat_round_robin,120.0,60.0,1.0,1.0,1.0,,16.155555555555555,16.155555555555555,16.155555555555555,0.0,0.0,0.0
44,aggregate_std,all,aggregate_std,repeated_stratified_kfold,,,,,0.0,0.0,0.0,0.0,0.0,,1.480263677712709,1.480263677712709,1.480263677712709,0.0,0.0,0.0
